uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 09:00:00,57,57,67,0.4,,,,29.6,8.7,3,1006.4,2025-08-25T03:52:30Z,2025-08-25 16:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3,1006.0,2025-08-25T03:52:30Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 11:00:00,44,44,27,4.8,0.6,0.6,0.1,33.0,8.1,2.5,1006.3,2025-08-25T04:36:50Z,2025-08-25 18:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 11:00:00,46,46,18,8.3,,2.2,0.1,31.0,65.6,3.0,1005.8,2025-08-25T04:36:50Z,2025-08-25 18:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 11:00:00,66,66,27,10.3,8.1,0.6,0.1,33.0,8.3,2.5,1005.2,2025-08-25T04:36:51Z,2025-08-25 18:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 09:00:00,57,57,67,0.4,,,,29.6,8.7,3.0,1006.4,2025-08-25T04:36:52Z,2025-08-25 16:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T04:36:53Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 11:00:00,44,44,27,4.8,0.6,0.6,0.1,33.0,8.1,2.5,1006.3,2025-08-25T05:30:58Z,2025-08-25 18:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 12:00:00,31,31,21,10.3,,2.2,0.1,31.2,8.4,2.0,1004.9,2025-08-25T05:30:59Z,2025-08-25 19:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 12:00:00,40,40,22,10.3,8.1,0.6,0.1,33.0,8.3,2.5,1005.2,2025-08-25T05:30:59Z,2025-08-25 19:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 11:00:00,54,54,67,0.4,,,,31.7,8.1,2.5,1006.3,2025-08-25T05:31:00Z,2025-08-25 18:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T05:31:01Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 13:00:00,36,36,29,4.8,0.6,0.6,0.1,32.9,61.4,1.5,1004.1,2025-08-25T06:44:04Z,2025-08-25 20:00:00+07:00
